No,Tanggal,Harga,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
25,6-Nov-23,3.61,3.65,3.6,3.65,66.902.400,242.761.549.000,9.013
26,3-Nov-23,3.59,3.63,3.54,3.57,85.146.800,304.469.228.000,10.441
27,2-Nov-23,3.69,3.69,3.62,3.62,69.582.500,254.524.964.000,8.63
28,1-Nov-23,3.6,3.7,3.6,3.62,154.441.100,560.151.810.000,15.544
29,31 Okt 2023,3.4,3.51,3.4,3.49,66.801.600,232.195.381.000,11.359
30,30 Okt 2023,3.5,3.5,3.39,3.42,82.945.500,284.506.706.000,16.685
31,27 Okt 2023,3.48,3.53,3.44,3.5,99.607.000,347.620.984.000,12.369
32,26 Okt 2023,3.6,3.61,3.46,3.48,141.139.700,495.377.854.000,26.897
33,25 Okt 2023,3.65,3.68,3.58,3.6,89.567.900,324.457.734.000,15.374
34,24 Okt 2023,3.64,3.67,3.6,3.65,67.041.700,244.210.888.000,8.683
35,23 Okt 2023,3.71,3.72,3.61,3.61,69.428.400,252.659.608.000,17.151
36,20 Okt 2023,3.72,3.73,3.69,3.7,55.918.900,207.150.861.000,8.881
37,19 Okt 2023,3.73,3.76,3.72,3.73,62.296.900,232.487.900.000,7.595
38,18 Okt 2023,3.77,3.78,3.73,3.75,76.612.100,286.724.127.000,14.703
39,17 Okt 2023,3.78,3.81,3.77,3.79,57.046.900,215.813.726.000,8.311
40,16 Okt 2023,3.85,3.85,3.74,3.76,131.156.600,497.116.760.000,12.449
41,13 Okt 2023,3.82,3.85,3.81,3.85,48.856.500,187.607.002.000,4.58
42,12 Okt 2023,3.82,3.87,3.8,3.83,101.645.100,390.148.845.000,9.926
43,11 Okt 2023,3.78,3.81,3.78,3.78,83.154.300,314.914.067.000,7.694
44,10 Okt 2023,3.78,3.82,3.77,3.81,58.728.600,223.398.485.000,10.082
45,09 Okt 2023,3.77,3.78,3.75,3.76,37.711.400,141.850.874.000,6.571
46,06 Okt 2023,3.78,3.8,3.77,3.78,60.156.100,227.370.203.000,6.815
47,05 Okt 2023,3.79,3.8,3.72,3.72,81.258.900,304.434.216.000,9.423
48,04 Okt 2023,3.8,3.8,3.74,3.78,77.527.700,292.527.797.000,7.86
49,03 Okt 2023,3.75,3.8,3.74,3.77,61.237.300,231.112.856.000,7.546
50,02 Okt 2023,3.75,3.78,3.73,3.75,71.945.000,269.654.030.000,8.968
51,29-Sep-23,3.73,3.8,3.73,3.75,66.226.800,249.352.929.000,7.36
52,27-Sep-23,3.75,3.78,3.72,3.72,83.337.700,311.596.557.000,9.899
53,26-Sep-23,3.77,3.8,3.75,3.76,74.734.500,282.093.073.000,11.003
54,25-Sep-23,3.81,3.84,3.77,3.77,126.985.200,481.761.091.000,14.67
55,22-Sep-23,3.83,3.88,3.81,3.86,101.185.700,390.064.407.000,12.658
56,21-Sep-23,3.81,3.84,3.79,3.81,94.880.700,361.836.841.000,10.044
57,20-Sep-23,3.74,3.85,3.74,3.81,171.751.900,654.446.397.000,20.792
58,19-Sep-23,3.69,3.74,3.69,3.73,47.905.700,178.390.522.000,7.814
59,18-Sep-23,3.7,3.72,3.68,3.68,40.645.900,150.227.931.000,7.356
60,15-Sep-23,3.68,3.78,3.67,3.72,147.757.300,550.422.705.000,13.183
61,14-Sep-23,3.71,3.72,3.68,3.68,55.532.900,204.967.431.000,10.2
62,13-Sep-23,3.72,3.72,3.67,3.71,82.635.900,305.084.232.000,12.733
63,12-Sep-23,3.7,3.74,3.7,3.71,72.170.600,267.924.524.000,8.892
64,11-Sep-23,3.71,3.71,3.68,3.7,76.577.500,282.997.757.000,8.416
65,8-Sep-23,3.77,3.77,3.67,3.69,143.090.100,530.032.623.000,19.236
66,7-Sep-23,3.78,3.79,3.73,3.76,63.054.500,237.449.085.000,7.278
67,6-Sep-23,3.75,3.81,3.74,3.79,98.673.400,373.604.852.000,11.724
